slug,path,family,title,meta_title,meta_description,summary,jurisdiction,primary_source_id,source_category,priority,batch_status,needs_official_source_block,needs_cross_site_handoff,canonical_domain,parent_project_slug,primary_intent,secondary_source_ids,must_link_to,template_id,thin_page_risk,minimum_unique_blocks,parent_approved_document
building-control-inspections-for-underpinning,/questions/building-control-inspections-for-underpinning/,programmatic_question_page,Building control inspections for Underpinning,Building control inspections for Underpinning,"See the likely inspection stages for underpinning, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for underpinning, what to prepare before each visit, and what proof to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,underpinning-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/underpinning-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
completion-certificate-for-underpinning,/questions/completion-certificate-for-underpinning/,programmatic_question_page,Completion certificate for Underpinning,Completion certificate for Underpinning,"Understand how the completion certificate stage normally works for underpinning, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for underpinning, what can delay it, and how to avoid missing documents.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,underpinning-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/underpinning-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
what-documents-do-i-need-for-underpinning,/questions/what-documents-do-i-need-for-underpinning/,programmatic_question_page,What documents do I need for Underpinning?,What documents do I need for Underpinning?,"Prepare drawings, calculations, certificates, installer details and evidence for underpinning.","Prepare drawings, calculations, certificates, installer details and evidence for underpinning.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,underpinning-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/underpinning-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
common-building-regs-mistakes-underpinning,/questions/common-building-regs-mistakes-underpinning/,programmatic_question_page,Common building regulations mistakes with Underpinning,Common building regulations mistakes with Underpinning,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on underpinning.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on underpinning.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,underpinning-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/underpinning-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
do-i-need-building-regulations-for-rooflights,/questions/do-i-need-building-regulations-for-rooflights/,programmatic_question_page,Do I need building regulations for Rooflights?,Do I need building regulations for Rooflights?,"Check whether rooflights usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether rooflights usually needs building regulations approval, what route is safest, and what evidence to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,rooflights-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/rooflights-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-notice-or-full-plans-for-rooflights,/questions/building-notice-or-full-plans-for-rooflights/,programmatic_question_page,Building notice or full plans for Rooflights?,Building notice or full plans for Rooflights?,"Compare building notice and full plans routes for rooflights, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for rooflights, with red flags that should push the project toward full plans.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,rooflights-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/rooflights-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-control-inspections-for-rooflights,/questions/building-control-inspections-for-rooflights/,programmatic_question_page,Building control inspections for Rooflights,Building control inspections for Rooflights,"See the likely inspection stages for rooflights, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for rooflights, what to prepare before each visit, and what proof to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,rooflights-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/rooflights-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
completion-certificate-for-rooflights,/questions/completion-certificate-for-rooflights/,programmatic_question_page,Completion certificate for Rooflights,Completion certificate for Rooflights,"Understand how the completion certificate stage normally works for rooflights, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for rooflights, what can delay it, and how to avoid missing documents.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,rooflights-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/rooflights-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
what-documents-do-i-need-for-rooflights,/questions/what-documents-do-i-need-for-rooflights/,programmatic_question_page,What documents do I need for Rooflights?,What documents do I need for Rooflights?,"Prepare drawings, calculations, certificates, installer details and evidence for rooflights.","Prepare drawings, calculations, certificates, installer details and evidence for rooflights.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,rooflights-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/rooflights-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
common-building-regs-mistakes-rooflights,/questions/common-building-regs-mistakes-rooflights/,programmatic_question_page,Common building regulations mistakes with Rooflights,Common building regulations mistakes with Rooflights,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on rooflights.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on rooflights.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,rooflights-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/rooflights-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
do-i-need-building-regulations-for-roof-alterations,/questions/do-i-need-building-regulations-for-roof-alterations/,programmatic_question_page,Do I need building regulations for Roof alterations?,Do I need building regulations for Roof alterations?,"Check whether roof alterations usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether roof alterations usually needs building regulations approval, what route is safest, and what evidence to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,roof-alterations-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/roof-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-notice-or-full-plans-for-roof-alterations,/questions/building-notice-or-full-plans-for-roof-alterations/,programmatic_question_page,Building notice or full plans for Roof alterations?,Building notice or full plans for Roof alterations?,"Compare building notice and full plans routes for roof alterations, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for roof alterations, with red flags that should push the project toward full plans.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,roof-alterations-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/roof-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-control-inspections-for-roof-alterations,/questions/building-control-inspections-for-roof-alterations/,programmatic_question_page,Building control inspections for Roof alterations,Building control inspections for Roof alterations,"See the likely inspection stages for roof alterations, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for roof alterations, what to prepare before each visit, and what proof to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,roof-alterations-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/roof-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
completion-certificate-for-roof-alterations,/questions/completion-certificate-for-roof-alterations/,programmatic_question_page,Completion certificate for Roof alterations,Completion certificate for Roof alterations,"Understand how the completion certificate stage normally works for roof alterations, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for roof alterations, what can delay it, and how to avoid missing documents.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,roof-alterations-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/roof-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
what-documents-do-i-need-for-roof-alterations,/questions/what-documents-do-i-need-for-roof-alterations/,programmatic_question_page,What documents do I need for Roof alterations?,What documents do I need for Roof alterations?,"Prepare drawings, calculations, certificates, installer details and evidence for roof alterations.","Prepare drawings, calculations, certificates, installer details and evidence for roof alterations.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,roof-alterations-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/roof-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
common-building-regs-mistakes-roof-alterations,/questions/common-building-regs-mistakes-roof-alterations/,programmatic_question_page,Common building regulations mistakes with Roof alterations,Common building regulations mistakes with Roof alterations,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on roof alterations.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on roof alterations.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,roof-alterations-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/roof-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
do-i-need-building-regulations-for-driveway-drainage,/questions/do-i-need-building-regulations-for-driveway-drainage/,programmatic_question_page,Do I need building regulations for Driveway drainage?,Do I need building regulations for Driveway drainage?,"Check whether driveway drainage usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether driveway drainage usually needs building regulations approval, what route is safest, and what evidence to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,driveway-drainage-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/driveway-drainage-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-notice-or-full-plans-for-driveway-drainage,/questions/building-notice-or-full-plans-for-driveway-drainage/,programmatic_question_page,Building notice or full plans for Driveway drainage?,Building notice or full plans for Driveway drainage?,"Compare building notice and full plans routes for driveway drainage, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for driveway drainage, with red flags that should push the project toward full plans.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,driveway-drainage-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/driveway-drainage-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-control-inspections-for-driveway-drainage,/questions/building-control-inspections-for-driveway-drainage/,programmatic_question_page,Building control inspections for Driveway drainage,Building control inspections for Driveway drainage,"See the likely inspection stages for driveway drainage, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for driveway drainage, what to prepare before each visit, and what proof to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,driveway-drainage-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/driveway-drainage-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
completion-certificate-for-driveway-drainage,/questions/completion-certificate-for-driveway-drainage/,programmatic_question_page,Completion certificate for Driveway drainage,Completion certificate for Driveway drainage,"Understand how the completion certificate stage normally works for driveway drainage, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for driveway drainage, what can delay it, and how to avoid missing documents.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,driveway-drainage-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/driveway-drainage-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
what-documents-do-i-need-for-driveway-drainage,/questions/what-documents-do-i-need-for-driveway-drainage/,programmatic_question_page,What documents do I need for Driveway drainage?,What documents do I need for Driveway drainage?,"Prepare drawings, calculations, certificates, installer details and evidence for driveway drainage.","Prepare drawings, calculations, certificates, installer details and evidence for driveway drainage.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,driveway-drainage-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/driveway-drainage-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
common-building-regs-mistakes-driveway-drainage,/questions/common-building-regs-mistakes-driveway-drainage/,programmatic_question_page,Common building regulations mistakes with Driveway drainage,Common building regulations mistakes with Driveway drainag,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on driveway drainage.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on driveway drainage.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,driveway-drainage-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/driveway-drainage-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
do-i-need-building-regulations-for-insulation-upgrades,/questions/do-i-need-building-regulations-for-insulation-upgrades/,programmatic_question_page,Do I need building regulations for Insulation upgrades?,Do I need building regulations for Insulation upgrades?,"Check whether insulation upgrades usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether insulation upgrades usually needs building regulations approval, what route is safest, and what evidence to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,insulation-upgrades-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/insulation-upgrades-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-notice-or-full-plans-for-insulation-upgrades,/questions/building-notice-or-full-plans-for-insulation-upgrades/,programmatic_question_page,Building notice or full plans for Insulation upgrades?,Building notice or full plans for Insulation upgrades?,"Compare building notice and full plans routes for insulation upgrades, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for insulation upgrades, with red flags that should push the project toward full plans.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,insulation-upgrades-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/insulation-upgrades-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-control-inspections-for-insulation-upgrades,/questions/building-control-inspections-for-insulation-upgrades/,programmatic_question_page,Building control inspections for Insulation upgrades,Building control inspections for Insulation upgrades,"See the likely inspection stages for insulation upgrades, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for insulation upgrades, what to prepare before each visit, and what proof to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,insulation-upgrades-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/insulation-upgrades-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
completion-certificate-for-insulation-upgrades,/questions/completion-certificate-for-insulation-upgrades/,programmatic_question_page,Completion certificate for Insulation upgrades,Completion certificate for Insulation upgrades,"Understand how the completion certificate stage normally works for insulation upgrades, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for insulation upgrades, what can delay it, and how to avoid missing documents.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,insulation-upgrades-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/insulation-upgrades-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
what-documents-do-i-need-for-insulation-upgrades,/questions/what-documents-do-i-need-for-insulation-upgrades/,programmatic_question_page,What documents do I need for Insulation upgrades?,What documents do I need for Insulation upgrades?,"Prepare drawings, calculations, certificates, installer details and evidence for insulation upgrades.","Prepare drawings, calculations, certificates, installer details and evidence for insulation upgrades.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,insulation-upgrades-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/insulation-upgrades-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
common-building-regs-mistakes-insulation-upgrades,/questions/common-building-regs-mistakes-insulation-upgrades/,programmatic_question_page,Common building regulations mistakes with Insulation upgrades,Common building regulations mistakes with Insulation upgra,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on insulation upgrades.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on insulation upgrades.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,insulation-upgrades-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/insulation-upgrades-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
do-i-need-building-regulations-for-porch,/questions/do-i-need-building-regulations-for-porch/,programmatic_question_page,Do I need building regulations for Porch?,Do I need building regulations for Porch?,"Check whether porch usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether porch usually needs building regulations approval, what route is safest, and what evidence to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,porch-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/porch-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-notice-or-full-plans-for-porch,/questions/building-notice-or-full-plans-for-porch/,programmatic_question_page,Building notice or full plans for Porch?,Building notice or full plans for Porch?,"Compare building notice and full plans routes for porch, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for porch, with red flags that should push the project toward full plans.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,porch-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/porch-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-control-inspections-for-porch,/questions/building-control-inspections-for-porch/,programmatic_question_page,Building control inspections for Porch,Building control inspections for Porch,"See the likely inspection stages for porch, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for porch, what to prepare before each visit, and what proof to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,porch-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/porch-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
completion-certificate-for-porch,/questions/completion-certificate-for-porch/,programmatic_question_page,Completion certificate for Porch,Completion certificate for Porch,"Understand how the completion certificate stage normally works for porch, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for porch, what can delay it, and how to avoid missing documents.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,porch-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/porch-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
what-documents-do-i-need-for-porch,/questions/what-documents-do-i-need-for-porch/,programmatic_question_page,What documents do I need for Porch?,What documents do I need for Porch?,"Prepare drawings, calculations, certificates, installer details and evidence for porch.","Prepare drawings, calculations, certificates, installer details and evidence for porch.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,porch-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/porch-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
common-building-regs-mistakes-porch,/questions/common-building-regs-mistakes-porch/,programmatic_question_page,Common building regulations mistakes with Porch,Common building regulations mistakes with Porch,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on porch.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on porch.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,porch-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/porch-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
do-i-need-building-regulations-for-flat-alterations,/questions/do-i-need-building-regulations-for-flat-alterations/,programmatic_question_page,Do I need building regulations for Flat alterations?,Do I need building regulations for Flat alterations?,"Check whether flat alterations usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether flat alterations usually needs building regulations approval, what route is safest, and what evidence to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,flat-alterations-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/flat-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-notice-or-full-plans-for-flat-alterations,/questions/building-notice-or-full-plans-for-flat-alterations/,programmatic_question_page,Building notice or full plans for Flat alterations?,Building notice or full plans for Flat alterations?,"Compare building notice and full plans routes for flat alterations, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for flat alterations, with red flags that should push the project toward full plans.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,flat-alterations-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/flat-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-control-inspections-for-flat-alterations,/questions/building-control-inspections-for-flat-alterations/,programmatic_question_page,Building control inspections for Flat alterations,Building control inspections for Flat alterations,"See the likely inspection stages for flat alterations, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for flat alterations, what to prepare before each visit, and what proof to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,flat-alterations-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/flat-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
completion-certificate-for-flat-alterations,/questions/completion-certificate-for-flat-alterations/,programmatic_question_page,Completion certificate for Flat alterations,Completion certificate for Flat alterations,"Understand how the completion certificate stage normally works for flat alterations, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for flat alterations, what can delay it, and how to avoid missing documents.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,flat-alterations-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/flat-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
what-documents-do-i-need-for-flat-alterations,/questions/what-documents-do-i-need-for-flat-alterations/,programmatic_question_page,What documents do I need for Flat alterations?,What documents do I need for Flat alterations?,"Prepare drawings, calculations, certificates, installer details and evidence for flat alterations.","Prepare drawings, calculations, certificates, installer details and evidence for flat alterations.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,flat-alterations-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/flat-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
common-building-regs-mistakes-flat-alterations,/questions/common-building-regs-mistakes-flat-alterations/,programmatic_question_page,Common building regulations mistakes with Flat alterations,Common building regulations mistakes with Flat alterations,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on flat alterations.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on flat alterations.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,flat-alterations-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/flat-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
do-i-need-building-regulations-for-creating-new-dwelling,/questions/do-i-need-building-regulations-for-creating-new-dwelling/,programmatic_question_page,Do I need building regulations for Creating a new dwelling?,Do I need building regulations for Creating a new dwelling,"Check whether creating a new dwelling usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether creating a new dwelling usually needs building regulations approval, what route is safest, and what evidence to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,creating-new-dwelling-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/creating-new-dwelling-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-notice-or-full-plans-for-creating-new-dwelling,/questions/building-notice-or-full-plans-for-creating-new-dwelling/,programmatic_question_page,Building notice or full plans for Creating a new dwelling?,Building notice or full plans for Creating a new dwelling?,"Compare building notice and full plans routes for creating a new dwelling, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for creating a new dwelling, with red flags that should push the project toward full plans.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,creating-new-dwelling-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/creating-new-dwelling-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
building-control-inspections-for-creating-new-dwelling,/questions/building-control-inspections-for-creating-new-dwelling/,programmatic_question_page,Building control inspections for Creating a new dwelling,Building control inspections for Creating a new dwelling,"See the likely inspection stages for creating a new dwelling, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for creating a new dwelling, what to prepare before each visit, and what proof to keep.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,creating-new-dwelling-building-regulations,homeowner_pre_project_check,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/creating-new-dwelling-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",
