slug,path,family,parent_project_slug,title,meta_title,meta_description,summary,primary_intent,jurisdiction,primary_source_id,secondary_source_ids,must_link_to,template_id,thin_page_risk,minimum_unique_blocks,batch_status,parent_approved_document
what-documents-do-i-need-for-porch,/questions/what-documents-do-i-need-for-porch/,programmatic_question_page,porch-building-regulations,What documents do I need for Porch?,What documents do I need for Porch?,"Prepare drawings, calculations, certificates, installer details and evidence for porch.","Prepare drawings, calculations, certificates, installer details and evidence for porch.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/porch-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-porch,/questions/common-building-regs-mistakes-porch/,programmatic_question_page,porch-building-regulations,Common building regulations mistakes with Porch,Common building regulations mistakes with Porch,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on porch.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on porch.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/porch-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
do-i-need-building-regulations-for-flat-alterations,/questions/do-i-need-building-regulations-for-flat-alterations/,programmatic_question_page,flat-alterations-building-regulations,Do I need building regulations for Flat alterations?,Do I need building regulations for Flat alterations?,"Check whether flat alterations usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether flat alterations usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/flat-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-notice-or-full-plans-for-flat-alterations,/questions/building-notice-or-full-plans-for-flat-alterations/,programmatic_question_page,flat-alterations-building-regulations,Building notice or full plans for Flat alterations?,Building notice or full plans for Flat alterations?,"Compare building notice and full plans routes for flat alterations, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for flat alterations, with red flags that should push the project toward full plans.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/flat-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-control-inspections-for-flat-alterations,/questions/building-control-inspections-for-flat-alterations/,programmatic_question_page,flat-alterations-building-regulations,Building control inspections for Flat alterations,Building control inspections for Flat alterations,"See the likely inspection stages for flat alterations, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for flat alterations, what to prepare before each visit, and what proof to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/flat-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
completion-certificate-for-flat-alterations,/questions/completion-certificate-for-flat-alterations/,programmatic_question_page,flat-alterations-building-regulations,Completion certificate for Flat alterations,Completion certificate for Flat alterations,"Understand how the completion certificate stage normally works for flat alterations, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for flat alterations, what can delay it, and how to avoid missing documents.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/flat-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
what-documents-do-i-need-for-flat-alterations,/questions/what-documents-do-i-need-for-flat-alterations/,programmatic_question_page,flat-alterations-building-regulations,What documents do I need for Flat alterations?,What documents do I need for Flat alterations?,"Prepare drawings, calculations, certificates, installer details and evidence for flat alterations.","Prepare drawings, calculations, certificates, installer details and evidence for flat alterations.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/flat-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-flat-alterations,/questions/common-building-regs-mistakes-flat-alterations/,programmatic_question_page,flat-alterations-building-regulations,Common building regulations mistakes with Flat alterations,Common building regulations mistakes with Flat alterations,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on flat alterations.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on flat alterations.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/flat-alterations-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
do-i-need-building-regulations-for-creating-new-dwelling,/questions/do-i-need-building-regulations-for-creating-new-dwelling/,programmatic_question_page,creating-new-dwelling-building-regulations,Do I need building regulations for Creating a new dwelling?,Do I need building regulations for Creating a new dwelling,"Check whether creating a new dwelling usually needs building regulations approval, what route is safest, and what evidence to keep.","Check whether creating a new dwelling usually needs building regulations approval, what route is safest, and what evidence to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/creating-new-dwelling-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-notice-or-full-plans-for-creating-new-dwelling,/questions/building-notice-or-full-plans-for-creating-new-dwelling/,programmatic_question_page,creating-new-dwelling-building-regulations,Building notice or full plans for Creating a new dwelling?,Building notice or full plans for Creating a new dwelling?,"Compare building notice and full plans routes for creating a new dwelling, with red flags that should push the project toward full plans.","Compare building notice and full plans routes for creating a new dwelling, with red flags that should push the project toward full plans.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/creating-new-dwelling-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
building-control-inspections-for-creating-new-dwelling,/questions/building-control-inspections-for-creating-new-dwelling/,programmatic_question_page,creating-new-dwelling-building-regulations,Building control inspections for Creating a new dwelling,Building control inspections for Creating a new dwelling,"See the likely inspection stages for creating a new dwelling, what to prepare before each visit, and what proof to keep.","See the likely inspection stages for creating a new dwelling, what to prepare before each visit, and what proof to keep.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/creating-new-dwelling-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
completion-certificate-for-creating-new-dwelling,/questions/completion-certificate-for-creating-new-dwelling/,programmatic_question_page,creating-new-dwelling-building-regulations,Completion certificate for Creating a new dwelling,Completion certificate for Creating a new dwelling,"Understand how the completion certificate stage normally works for creating a new dwelling, what can delay it, and how to avoid missing documents.","Understand how the completion certificate stage normally works for creating a new dwelling, what can delay it, and how to avoid missing documents.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/creating-new-dwelling-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
what-documents-do-i-need-for-creating-new-dwelling,/questions/what-documents-do-i-need-for-creating-new-dwelling/,programmatic_question_page,creating-new-dwelling-building-regulations,What documents do I need for Creating a new dwelling?,What documents do I need for Creating a new dwelling?,"Prepare drawings, calculations, certificates, installer details and evidence for creating a new dwelling.","Prepare drawings, calculations, certificates, installer details and evidence for creating a new dwelling.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/creating-new-dwelling-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
common-building-regs-mistakes-creating-new-dwelling,/questions/common-building-regs-mistakes-creating-new-dwelling/,programmatic_question_page,creating-new-dwelling-building-regulations,Common building regulations mistakes with Creating a new dwelling,Common building regulations mistakes with Creating a new d,"Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on creating a new dwelling.","Avoid the common paperwork, inspection, structure, fire-safety and certificate mistakes on creating a new dwelling.",homeowner_pre_project_check,England-first,govuk_building_regs_approval,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/projects/creating-new-dwelling-building-regulations/;/tools/building-control-route-checker/;/downloads/,question_project_template_v1,medium,"project red flags, route advice, likely inspections, evidence checklist, source notice",batch_5_seo_route_candidate,
approved-document-a-structure-for-homeowners,/approved-documents/approved-document-a-structure-for-homeowners/,approved_document_longtail,,Approved Document A: Structure for homeowners,Approved Document A: Structure for homeowners,Understand when approved document a: structure matters for domestic work and which project pages to check next.,Understand when approved document a: structure matters for domestic work and which project pages to check next.,approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/a-structure/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,A
approved-document-a-structure-checklist,/approved-documents/approved-document-a-structure-checklist/,approved_document_longtail,,Approved Document A: Structure checklist,Approved Document A: Structure checklist,"A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document a: structure.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document a: structure.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/a-structure/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,A
approved-document-a-structure-common-projects,/approved-documents/approved-document-a-structure-common-projects/,approved_document_longtail,,Common home projects affected by Approved Document A: Structure,Common home projects affected by Approved Document A: Stru,"See which extensions, conversions, alterations and installations commonly connect to approved document a: structure.","See which extensions, conversions, alterations and installations commonly connect to approved document a: structure.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/a-structure/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,A
approved-document-b-fire-safety-for-homeowners,/approved-documents/approved-document-b-fire-safety-for-homeowners/,approved_document_longtail,,Approved Document B: Fire safety for homeowners,Approved Document B: Fire safety for homeowners,Understand when approved document b: fire safety matters for domestic work and which project pages to check next.,Understand when approved document b: fire safety matters for domestic work and which project pages to check next.,approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/b-fire-safety/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,B
approved-document-b-fire-safety-checklist,/approved-documents/approved-document-b-fire-safety-checklist/,approved_document_longtail,,Approved Document B: Fire safety checklist,Approved Document B: Fire safety checklist,"A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document b: fire safety.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document b: fire safety.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/b-fire-safety/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,B
approved-document-b-fire-safety-common-projects,/approved-documents/approved-document-b-fire-safety-common-projects/,approved_document_longtail,,Common home projects affected by Approved Document B: Fire safety,Common home projects affected by Approved Document B: Fire,"See which extensions, conversions, alterations and installations commonly connect to approved document b: fire safety.","See which extensions, conversions, alterations and installations commonly connect to approved document b: fire safety.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/b-fire-safety/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,B
approved-document-c-site-preparation-moisture-for-homeowners,/approved-documents/approved-document-c-site-preparation-moisture-for-homeowners/,approved_document_longtail,,"Approved Document C: Site preparation, contaminants and moisture for homeowners","Approved Document C: Site preparation, contaminants and mo","Understand when approved document c: site preparation, contaminants and moisture matters for domestic work and which project pages to check next.","Understand when approved document c: site preparation, contaminants and moisture matters for domestic work and which project pages to check next.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/c-site-preparation-moisture/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,C
approved-document-c-site-preparation-moisture-checklist,/approved-documents/approved-document-c-site-preparation-moisture-checklist/,approved_document_longtail,,"Approved Document C: Site preparation, contaminants and moisture checklist","Approved Document C: Site preparation, contaminants and mo","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document c: site preparation, contaminants and moisture.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document c: site preparation, contaminants and moisture.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/c-site-preparation-moisture/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,C
approved-document-c-site-preparation-moisture-common-projects,/approved-documents/approved-document-c-site-preparation-moisture-common-projects/,approved_document_longtail,,"Common home projects affected by Approved Document C: Site preparation, contaminants and moisture",Common home projects affected by Approved Document C: Site,"See which extensions, conversions, alterations and installations commonly connect to approved document c: site preparation, contaminants and moisture.","See which extensions, conversions, alterations and installations commonly connect to approved document c: site preparation, contaminants and moisture.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/c-site-preparation-moisture/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,C
approved-document-d-toxic-substances-for-homeowners,/approved-documents/approved-document-d-toxic-substances-for-homeowners/,approved_document_longtail,,Approved Document D: Toxic substances for homeowners,Approved Document D: Toxic substances for homeowners,Understand when approved document d: toxic substances matters for domestic work and which project pages to check next.,Understand when approved document d: toxic substances matters for domestic work and which project pages to check next.,approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/d-toxic-substances/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,D
approved-document-d-toxic-substances-checklist,/approved-documents/approved-document-d-toxic-substances-checklist/,approved_document_longtail,,Approved Document D: Toxic substances checklist,Approved Document D: Toxic substances checklist,"A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document d: toxic substances.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document d: toxic substances.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/d-toxic-substances/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,D
approved-document-d-toxic-substances-common-projects,/approved-documents/approved-document-d-toxic-substances-common-projects/,approved_document_longtail,,Common home projects affected by Approved Document D: Toxic substances,Common home projects affected by Approved Document D: Toxi,"See which extensions, conversions, alterations and installations commonly connect to approved document d: toxic substances.","See which extensions, conversions, alterations and installations commonly connect to approved document d: toxic substances.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/d-toxic-substances/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,D
approved-document-e-sound-for-homeowners,/approved-documents/approved-document-e-sound-for-homeowners/,approved_document_longtail,,Approved Document E: Resistance to sound for homeowners,Approved Document E: Resistance to sound for homeowners,Understand when approved document e: resistance to sound matters for domestic work and which project pages to check next.,Understand when approved document e: resistance to sound matters for domestic work and which project pages to check next.,approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/e-sound/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,E
approved-document-e-sound-checklist,/approved-documents/approved-document-e-sound-checklist/,approved_document_longtail,,Approved Document E: Resistance to sound checklist,Approved Document E: Resistance to sound checklist,"A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document e: resistance to sound.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document e: resistance to sound.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/e-sound/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,E
approved-document-e-sound-common-projects,/approved-documents/approved-document-e-sound-common-projects/,approved_document_longtail,,Common home projects affected by Approved Document E: Resistance to sound,Common home projects affected by Approved Document E: Resi,"See which extensions, conversions, alterations and installations commonly connect to approved document e: resistance to sound.","See which extensions, conversions, alterations and installations commonly connect to approved document e: resistance to sound.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/e-sound/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,E
approved-document-f-ventilation-for-homeowners,/approved-documents/approved-document-f-ventilation-for-homeowners/,approved_document_longtail,,Approved Document F: Ventilation for homeowners,Approved Document F: Ventilation for homeowners,Understand when approved document f: ventilation matters for domestic work and which project pages to check next.,Understand when approved document f: ventilation matters for domestic work and which project pages to check next.,approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/f-ventilation/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,F
approved-document-f-ventilation-checklist,/approved-documents/approved-document-f-ventilation-checklist/,approved_document_longtail,,Approved Document F: Ventilation checklist,Approved Document F: Ventilation checklist,"A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document f: ventilation.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document f: ventilation.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/f-ventilation/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,F
approved-document-f-ventilation-common-projects,/approved-documents/approved-document-f-ventilation-common-projects/,approved_document_longtail,,Common home projects affected by Approved Document F: Ventilation,Common home projects affected by Approved Document F: Vent,"See which extensions, conversions, alterations and installations commonly connect to approved document f: ventilation.","See which extensions, conversions, alterations and installations commonly connect to approved document f: ventilation.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/f-ventilation/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,F
approved-document-g-sanitation-hot-water-water-efficiency-for-homeowners,/approved-documents/approved-document-g-sanitation-hot-water-water-efficiency-for-homeowners/,approved_document_longtail,,"Approved Document G: Sanitation, hot water safety and water efficiency for homeowners","Approved Document G: Sanitation, hot water safety and wate","Understand when approved document g: sanitation, hot water safety and water efficiency matters for domestic work and which project pages to check next.","Understand when approved document g: sanitation, hot water safety and water efficiency matters for domestic work and which project pages to check next.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/g-sanitation-hot-water-water-efficiency/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,G
approved-document-g-sanitation-hot-water-water-efficiency-checklist,/approved-documents/approved-document-g-sanitation-hot-water-water-efficiency-checklist/,approved_document_longtail,,"Approved Document G: Sanitation, hot water safety and water efficiency checklist","Approved Document G: Sanitation, hot water safety and wate","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document g: sanitation, hot water safety and water efficiency.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document g: sanitation, hot water safety and water efficiency.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/g-sanitation-hot-water-water-efficiency/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,G
approved-document-g-sanitation-hot-water-water-efficiency-common-projects,/approved-documents/approved-document-g-sanitation-hot-water-water-efficiency-common-projects/,approved_document_longtail,,"Common home projects affected by Approved Document G: Sanitation, hot water safety and water efficiency",Common home projects affected by Approved Document G: Sani,"See which extensions, conversions, alterations and installations commonly connect to approved document g: sanitation, hot water safety and water efficiency","See which extensions, conversions, alterations and installations commonly connect to approved document g: sanitation, hot water safety and water efficiency.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/g-sanitation-hot-water-water-efficiency/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,G
approved-document-h-drainage-waste-for-homeowners,/approved-documents/approved-document-h-drainage-waste-for-homeowners/,approved_document_longtail,,Approved Document H: Drainage and waste disposal for homeowners,Approved Document H: Drainage and waste disposal for homeo,Understand when approved document h: drainage and waste disposal matters for domestic work and which project pages to check next.,Understand when approved document h: drainage and waste disposal matters for domestic work and which project pages to check next.,approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/h-drainage-waste/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,H
approved-document-h-drainage-waste-checklist,/approved-documents/approved-document-h-drainage-waste-checklist/,approved_document_longtail,,Approved Document H: Drainage and waste disposal checklist,Approved Document H: Drainage and waste disposal checklist,"A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document h: drainage and waste disposal.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document h: drainage and waste disposal.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/h-drainage-waste/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,H
approved-document-h-drainage-waste-common-projects,/approved-documents/approved-document-h-drainage-waste-common-projects/,approved_document_longtail,,Common home projects affected by Approved Document H: Drainage and waste disposal,Common home projects affected by Approved Document H: Drai,"See which extensions, conversions, alterations and installations commonly connect to approved document h: drainage and waste disposal.","See which extensions, conversions, alterations and installations commonly connect to approved document h: drainage and waste disposal.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/h-drainage-waste/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,H
approved-document-j-combustion-appliances-for-homeowners,/approved-documents/approved-document-j-combustion-appliances-for-homeowners/,approved_document_longtail,,Approved Document J: Combustion appliances and fuel storage for homeowners,Approved Document J: Combustion appliances and fuel storag,Understand when approved document j: combustion appliances and fuel storage matters for domestic work and which project pages to check next.,Understand when approved document j: combustion appliances and fuel storage matters for domestic work and which project pages to check next.,approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/j-combustion-appliances/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,J
approved-document-j-combustion-appliances-checklist,/approved-documents/approved-document-j-combustion-appliances-checklist/,approved_document_longtail,,Approved Document J: Combustion appliances and fuel storage checklist,Approved Document J: Combustion appliances and fuel storag,"A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document j: combustion appliances and fuel storage.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document j: combustion appliances and fuel storage.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/j-combustion-appliances/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,J
approved-document-j-combustion-appliances-common-projects,/approved-documents/approved-document-j-combustion-appliances-common-projects/,approved_document_longtail,,Common home projects affected by Approved Document J: Combustion appliances and fuel storage,Common home projects affected by Approved Document J: Comb,"See which extensions, conversions, alterations and installations commonly connect to approved document j: combustion appliances and fuel storage.","See which extensions, conversions, alterations and installations commonly connect to approved document j: combustion appliances and fuel storage.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/j-combustion-appliances/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,J
approved-document-k-falling-collision-impact-for-homeowners,/approved-documents/approved-document-k-falling-collision-impact-for-homeowners/,approved_document_longtail,,"Approved Document K: Protection from falling, collision and impact for homeowners","Approved Document K: Protection from falling, collision an","Understand when approved document k: protection from falling, collision and impact matters for domestic work and which project pages to check next.","Understand when approved document k: protection from falling, collision and impact matters for domestic work and which project pages to check next.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/k-falling-collision-impact/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,K
approved-document-k-falling-collision-impact-checklist,/approved-documents/approved-document-k-falling-collision-impact-checklist/,approved_document_longtail,,"Approved Document K: Protection from falling, collision and impact checklist","Approved Document K: Protection from falling, collision an","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document k: protection from falling, collision and impact.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document k: protection from falling, collision and impact.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/k-falling-collision-impact/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,K
approved-document-k-falling-collision-impact-common-projects,/approved-documents/approved-document-k-falling-collision-impact-common-projects/,approved_document_longtail,,"Common home projects affected by Approved Document K: Protection from falling, collision and impact",Common home projects affected by Approved Document K: Prot,"See which extensions, conversions, alterations and installations commonly connect to approved document k: protection from falling, collision and impact.","See which extensions, conversions, alterations and installations commonly connect to approved document k: protection from falling, collision and impact.",approved_document_interpretation,England-first,govuk_approved_documents_collection,govuk_approved_documents_collection,/approved-documents/k-falling-collision-impact/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",batch_5_seo_route_candidate,K
